EndFiscalYear,UniqueIndividual_ID,Gender,Region_MostRecentPlacement,Age_Category,TotalAggregatedDays_Segregation
2023,2023-10154-SG,Female,Western,25 to 49,9
2023,2023-10155-SG,Male,Central,25 to 49,1
2023,2023-10156-SG,Male,Western,50+,8
2023,2023-10157-SG,Female,Central,50+,11
2023,2023-10158-SG,Male,Central,18 to 24,1
2023,2023-10159-SG,Male,Western,18 to 24,4
2023,2023-10160-SG,Male,Toronto,25 to 49,2
2023,2023-10161-SG,Female,Central,18 to 24,1
2023,2023-10162-SG,Male,Central,18 to 24,48
2023,2023-10163-SG,Male,Western,25 to 49,4
2023,2023-10164-SG,Male,Western,25 to 49,5
2023,2023-10165-SG,Male,Western,25 to 49,4
2023,2023-10166-SG,Male,Eastern,25 to 49,1
2023,2023-10167-SG,Male,Eastern,18 to 24,1
2023,2023-10168-SG,Male,Eastern,25 to 49,6
2023,2023-10169-SG,Male,Central,25 to 49,3
2023,2023-10170-SG,Male,Western,25 to 49,10
2023,2023-10171-SG,Male,Eastern,18 to 24,1
2023,2023-10172-SG,Male,Western,25 to 49,3
2023,2023-10173-SG,Male,Toronto,18 to 24,8
2023,2023-10174-SG,Female,Central,25 to 49,14
2023,2023-10175-SG,Female,Central,25 to 49,27
2023,2023-10176-SG,Male,Central,25 to 49,2
2023,2023-10177-SG,Male,Western,25 to 49,2
2023,2023-10178-SG,Male,Western,18 to 24,2
2023,2023-10179-SG,Male,Western,25 to 49,3
2023,2023-10180-SG,Male,Northern,25 to 49,2
2023,2023-10181-SG,Male,Central,18 to 24,5
2023,2023-10182-SG,Male,Central,18 to 24,57
2023,2023-10183-SG,Male,Central,18 to 24,40
2023,2023-10184-SG,Male,Central,50+,2
2023,2023-10185-SG,Male,Western,25 to 49,4
2023,2023-10186-SG,Female,Western,25 to 49,6
2023,2023-10187-SG,Male,Toronto,18 to 24,5
2023,2023-10188-SG,Female,Western,25 to 49,6
2023,2023-10189-SG,Male,Central,25 to 49,13
2023,2023-10190-SG,Male,Eastern,25 to 49,36
2023,2023-10191-SG,Male,Central,25 to 49,3
2023,2023-10192-SG,Male,Eastern,50+,2
2023,2023-10193-SG,Male,Western,50+,4
2023,2023-10194-SG,Male,Western,50+,4
2023,2023-10195-SG,Male,Central,25 to 49,5
2023,2023-10196-SG,Male,Western,18 to 24,12
2023,2023-10197-SG,Male,Eastern,25 to 49,3
2023,2023-10198-SG,Male,Central,18 to 24,2
2023,2023-10199-SG,Male,Central,25 to 49,6
2023,2023-10200-SG,Male,Central,25 to 49,1
2023,2023-10201-SG,Male,Central,50+,2
2023,2023-10202-SG,Male,Central,25 to 49,10
2023,2023-10203-SG,Female,Western,25 to 49,21
2023,2023-10204-SG,Male,Northern,25 to 49,2
2023,2023-10205-SG,Female,Central,25 to 49,9
2023,2023-10206-SG,Male,Northern,25 to 49,1
2023,2023-10207-SG,Female,Central,25 to 49,1
2023,2023-10208-SG,Female,Central,25 to 49,2
2023,2023-10209-SG,Male,Toronto,18 to 24,4
2023,2023-10210-SG,Male,Western,25 to 49,4
2023,2023-10211-SG,Male,Central,18 to 24,3
2023,2023-10212-SG,Male,Central,18 to 24,1
2023,2023-10213-SG,Female,Central,25 to 49,6
2023,2023-10214-SG,Female,Central,25 to 49,5
2023,2023-10215-SG,Male,Eastern,25 to 49,68
2023,2023-10216-SG,Female,Central,25 to 49,9
2023,2023-10217-SG,Male,Toronto,25 to 49,2
2023,2023-10218-SG,Male,Central,18 to 24,11
2023,2023-10219-SG,Male,Central,25 to 49,7
2023,2023-10220-SG,Male,Central,18 to 24,2
2023,2023-10221-SG,Female,Western,25 to 49,4
2023,2023-10222-SG,Male,Western,25 to 49,4
2023,2023-10223-SG,Male,Central,25 to 49,15
2023,2023-10224-SG,Male,Northern,18 to 24,3
2023,2023-10225-SG,Female,Western,25 to 49,2
2023,2023-10226-SG,Male,Central,18 to 24,206
2023,2023-10227-SG,Female,Eastern,25 to 49,1
2023,2023-10228-SG,Female,Western,25 to 49,7
2023,2023-10229-SG,Female,Central,25 to 49,13
2023,2023-10230-SG,Male,Central,25 to 49,15
2023,2023-10231-SG,Female,Central,25 to 49,2
2023,2023-10232-SG,Male,Central,18 to 24,7
2023,2023-10233-SG,Male,Central,25 to 49,4
2023,2023-10234-SG,Male,Eastern,25 to 49,2
2023,2023-10235-SG,Male,Central,18 to 24,1
2023,2023-10236-SG,Female,Central,25 to 49,3
2023,2023-10237-SG,Male,Western,25 to 49,3
2023,2023-10238-SG,Male,Toronto,25 to 49,6
2023,2023-10239-SG,Male,Central,25 to 49,3
2023,2023-10240-SG,Male,Central,25 to 49,1
2023,2023-10241-SG,Male,Central,18 to 24,7
2023,2023-10242-SG,Male,Central,25 to 49,1
2023,2023-10243-SG,Male,Central,25 to 49,15
2023,2023-10244-SG,Male,Central,25 to 49,1
2023,2023-10245-SG,Female,Central,25 to 49,133
2023,2023-10246-SG,Male,Central,25 to 49,2
2023,2023-10247-SG,Female,Eastern,25 to 49,6
2023,2023-10248-SG,Male,Northern,25 to 49,4
2023,2023-10249-SG,Male,Central,18 to 24,6
2023,2023-10250-SG,Male,Western,25 to 49,6
2023,2023-10251-SG,Female,Western,25 to 49,4
2023,2023-10252-SG,Male,Central,25 to 49,2
2023,2023-10253-SG,Male,Northern,18 to 24,3
2023,2023-10254-SG,Male,Western,25 to 49,8
2023,2023-10255-SG,Male,Western,25 to 49,4
2023,2023-10256-SG,Male,Eastern,18 to 24,1
2023,2023-10257-SG,Male,Western,25 to 49,13
2023,2023-10258-SG,Female,Eastern,18 to 24,5
2023,2023-10259-SG,Male,Toronto,25 to 49,5
2023,2023-10260-SG,Male,Central,25 to 49,8
2023,2023-10261-SG,Male,Western,25 to 49,35
2023,2023-10262-SG,Male,Toronto,18 to 24,8
2023,2023-10263-SG,Male,Central,25 to 49,7
2023,2023-10264-SG,Male,Western,25 to 49,4
2023,2023-10265-SG,Male,Central,25 to 49,2
2023,2023-10266-SG,Male,Western,50+,11
2023,2023-10267-SG,Female,Central,25 to 49,18
2023,2023-10268-SG,Female,Eastern,18 to 24,16
2023,2023-10269-SG,Male,Western,25 to 49,9
2023,2023-10270-SG,Male,Western,18 to 24,8
2023,2023-10271-SG,Female,Northern,25 to 49,5
2023,2023-10272-SG,Female,Eastern,25 to 49,14
2023,2023-10273-SG,Male,Toronto,25 to 49,7
2023,2023-10274-SG,Male,Toronto,25 to 49,6
2023,2023-10275-SG,Male,Western,25 to 49,10
2023,2023-10276-SG,Male,Western,50+,5
2023,2023-10277-SG,Male,Western,25 to 49,3
2023,2023-10278-SG,Male,Central,25 to 49,10
2023,2023-10279-SG,Male,Northern,25 to 49,1
2023,2023-10280-SG,Male,Western,25 to 49,6
2023,2023-10281-SG,Female,Western,25 to 49,7
2023,2023-10282-SG,Male,Eastern,18 to 24,4
2023,2023-10283-SG,Male,Eastern,25 to 49,25
2023,2023-10284-SG,Male,Western,18 to 24,5
2023,2023-10285-SG,Male,Central,50+,32
2023,2023-10286-SG,Male,Eastern,50+,12
2023,2023-10287-SG,Male,Central,25 to 49,1
2023,2023-10288-SG,Male,Western,18 to 24,4
2023,2023-10289-SG,Male,Central,18 to 24,3
2023,2023-10290-SG,Male,Toronto,25 to 49,27
2023,2023-10291-SG,Female,Central,50+,15
2023,2023-10292-SG,Female,Central,25 to 49,7
2023,2023-10293-SG,Male,Central,18 to 24,47
2023,2023-10294-SG,Male,Western,18 to 24,5
2023,2023-10295-SG,Male,Western,25 to 49,6
2023,2023-10296-SG,Female,Central,25 to 49,15
2023,2023-10297-SG,Male,Central,25 to 49,2
2023,2023-10298-SG,Male,Central,50+,7
2023,2023-10299-SG,Male,Western,25 to 49,5
2023,2023-10300-SG,Female,Western,25 to 49,17
2023,2023-10301-SG,Male,Central,18 to 24,3
2023,2023-10302-SG,Male,Central,25 to 49,22
2023,2023-10303-SG,Female,Central,18 to 24,8
2023,2023-10304-SG,Male,Eastern,25 to 49,1
2023,2023-10305-SG,Female,Central,25 to 49,4
2023,2023-10306-SG,Male,Central,50+,12
2023,2023-10307-SG,Female,Central,25 to 49,9
2023,2023-10308-SG,Male,Eastern,18 to 24,30
2023,2023-10309-SG,Male,Western,18 to 24,10
2023,2023-10310-SG,Male,Western,25 to 49,4
2023,2023-10311-SG,Male,Western,50+,5
2023,2023-10312-SG,Female,Western,25 to 49,5
2023,2023-10313-SG,Male,Central,25 to 49,32
2023,2023-10314-SG,Male,Eastern,25 to 49,2
2023,2023-10315-SG,Female,Eastern,50+,2
2023,2023-10316-SG,Female,Central,25 to 49,7
2023,2023-10317-SG,Male,Western,18 to 24,1
2023,2023-10318-SG,Male,Western,18 to 24,1
2023,2023-10319-SG,Male,Western,18 to 24,4
2023,2023-10320-SG,Female,Central,25 to 49,9
2023,2023-10321-SG,Male,Central,25 to 49,2
2023,2023-10322-SG,Male,Eastern,18 to 24,3
2023,2023-10323-SG,Female,Eastern,25 to 49,9
2023,2023-10324-SG,Female,Central,25 to 49,2
2023,2023-10325-SG,Male,Central,25 to 49,2
2023,2023-10326-SG,Male,Central,25 to 49,3
2023,2023-10327-SG,Male,Central,18 to 24,1
2023,2023-10328-SG,Male,Central,18 to 24,1
2023,2023-10329-SG,Male,Central,25 to 49,1
2023,2023-10330-SG,Male,Central,25 to 49,5
2023,2023-10331-SG,Male,Northern,25 to 49,5
2023,2023-10332-SG,Male,Western,25 to 49,6
2023,2023-10333-SG,Male,Central,25 to 49,10
2023,2023-10334-SG,Male,Western,50+,10
2023,2023-10335-SG,Female,Eastern,25 to 49,17
2023,2023-10336-SG,Male,Western,18 to 24,12
2023,2023-10337-SG,Male,Eastern,18 to 24,46
2023,2023-10338-SG,Male,Eastern,25 to 49,1
2023,2023-10339-SG,Female,Western,18 to 24,4
2023,2023-10340-SG,Male,Central,25 to 49,2
2023,2023-10341-SG,Female,Central,50+,6
2023,2023-10342-SG,Female,Central,50+,8
2023,2023-10343-SG,Male,Western,18 to 24,1
2023,2023-10344-SG,Male,Western,50+,7
2023,2023-10345-SG,Female,Central,18 to 24,41
2023,2023-10346-SG,Female,Eastern,25 to 49,3
2023,2023-10347-SG,Male,Toronto,18 to 24,5
2023,2023-10348-SG,Male,Toronto,25 to 49,9
2023,2023-10349-SG,Female,Central,25 to 49,1
2023,2023-10350-SG,Female,Northern,18 to 24,1
2023,2023-10351-SG,Male,Toronto,18 to 24,27
2023,2023-10352-SG,Female,Central,25 to 49,2
2023,2023-10353-SG,Female,Northern,18 to 24,1
2023,2023-10354-SG,Male,Central,50+,7
2023,2023-10355-SG,Male,Northern,18 to 24,2
2023,2023-10356-SG,Male,Central,25 to 49,2
2023,2023-10357-SG,Female,Central,25 to 49,22
2023,2023-10358-SG,Male,Central,25 to 49,15
2023,2023-10359-SG,Male,Central,18 to 24,7
2023,2023-10360-SG,Male,Northern,25 to 49,3
2023,2023-10361-SG,Male,Northern,25 to 49,14
2023,2023-10362-SG,Male,Central,18 to 24,1
2023,2023-10363-SG,Male,Western,25 to 49,20
2023,2023-10364-SG,Male,Central,25 to 49,7
2023,2023-10365-SG,Male,Western,25 to 49,8
2023,2023-10366-SG,Female,Western,25 to 49,1
2023,2023-10367-SG,Male,Eastern,25 to 49,23
2023,2023-10368-SG,Male,Central,50+,1
2023,2023-10369-SG,Male,Central,50+,15
2023,2023-10370-SG,Male,Western,25 to 49,5
2023,2023-10371-SG,Male,Northern,18 to 24,5
2023,2023-10372-SG,Female,Central,25 to 49,3
2023,2023-10373-SG,Male,Western,25 to 49,1
2023,2023-10374-SG,Male,Toronto,25 to 49,3
2023,2023-10375-SG,Male,Western,25 to 49,3
2023,2023-10376-SG,Female,Central,18 to 24,24
2023,2023-10377-SG,Male,Central,25 to 49,24
2023,2023-10378-SG,Male,Western,25 to 49,2
2023,2023-10379-SG,Female,Western,25 to 49,2
2023,2023-10380-SG,Female,Central,50+,7
2023,2023-10381-SG,Male,Western,25 to 49,6
2023,2023-10382-SG,Male,Central,25 to 49,3
2023,2023-10383-SG,Male,Central,18 to 24,1
2023,2023-10384-SG,Male,Western,25 to 49,2
2023,2023-10385-SG,Male,Western,25 to 49,4
2023,2023-10386-SG,Female,Central,18 to 24,4
2023,2023-10387-SG,Female,Central,25 to 49,11
2023,2023-10388-SG,Female,Central,25 to 49,5
2023,2023-10389-SG,Male,Central,25 to 49,3
2023,2023-10390-SG,Male,Central,18 to 24,1
2023,2023-10391-SG,Male,Eastern,25 to 49,3
2023,2023-10392-SG,Female,Central,18 to 24,4
2023,2023-10393-SG,Male,Toronto,18 to 24,7
2023,2023-10394-SG,Female,Eastern,25 to 49,22
2023,2023-10395-SG,Male,Eastern,25 to 49,1
2023,2023-10396-SG,Male,Western,25 to 49,6
2023,2023-10397-SG,Male,Eastern,25 to 49,15
2023,2023-10398-SG,Female,Central,25 to 49,156
2023,2023-10399-SG,Male,Eastern,25 to 49,3
2023,2023-10400-SG,Male,Western,18 to 24,8
2023,2023-10401-SG,Male,Western,50+,1
2023,2023-10402-SG,Female,Central,25 to 49,13
2023,2023-10403-SG,Male,Northern,50+,1
2023,2023-10404-SG,Male,Eastern,18 to 24,12
2023,2023-10405-SG,Female,Central,25 to 49,2
2023,2023-10406-SG,Male,Central,18 to 24,2
2023,2023-10407-SG,Male,Central,18 to 24,5
2023,2023-10408-SG,Female,Central,50+,4
2023,2023-10409-SG,Male,Western,18 to 24,6
2023,2023-10410-SG,Male,Central,18 to 24,5
2023,2023-10411-SG,Male,Central,18 to 24,2
2023,2023-10412-SG,Male,Central,18 to 24,5
2023,2023-10413-SG,Male,Central,18 to 24,1
2023,2023-10414-SG,Male,Eastern,25 to 49,14
2023,2023-10415-SG,Female,Central,25 to 49,22
2023,2023-10416-SG,Male,Central,25 to 49,1
2023,2023-10417-SG,Male,Central,25 to 49,2
2023,2023-10418-SG,Male,Central,25 to 49,7
2023,2023-10419-SG,Female,Central,18 to 24,1
2023,2023-10420-SG,Male,Northern,18 to 24,1
2023,2023-10421-SG,Female,Eastern,18 to 24,12
2023,2023-10422-SG,Female,Central,25 to 49,11
2023,2023-10423-SG,Male,Eastern,25 to 49,1
2023,2023-10424-SG,Male,Central,25 to 49,2
2023,2023-10425-SG,Male,Central,25 to 49,19
2023,2023-10426-SG,Male,Northern,18 to 24,1
2023,2023-10427-SG,Male,Western,18 to 24,7
2023,2023-10428-SG,Male,Toronto,25 to 49,6
2023,2023-10429-SG,Male,Eastern,50+,2
2023,2023-10430-SG,Male,Western,25 to 49,2
2023,2023-10431-SG,Male,Eastern,25 to 49,2
2023,2023-10432-SG,Female,Central,25 to 49,4
2023,2023-10433-SG,Male,Central,18 to 24,42
2023,2023-10434-SG,Male,Central,25 to 49,23
2023,2023-10435-SG,Male,Central,25 to 49,23
2023,2023-10436-SG,Male,Central,25 to 49,1
2023,2023-10437-SG,Male,Toronto,18 to 24,3
2023,2023-10438-SG,Male,Toronto,25 to 49,12
2023,2023-10439-SG,Male,Central,18 to 24,1
2023,2023-10440-SG,Male,Central,25 to 49,4
2023,2023-10441-SG,Male,Central,18 to 24,11
2023,2023-10442-SG,Male,Central,18 to 24,12
2023,2023-10443-SG,Male,Western,25 to 49,5
2023,2023-10444-SG,Female,Central,25 to 49,3
2023,2023-10445-SG,Male,Central,25 to 49,6
2023,2023-10446-SG,Male,Northern,25 to 49,1
2023,2023-10447-SG,Male,Northern,18 to 24,2
2023,2023-10448-SG,Male,Central,18 to 24,4
2023,2023-10449-SG,Male,Central,25 to 49,10
2023,2023-10450-SG,Female,Western,25 to 49,6
2023,2023-10451-SG,Female,Central,25 to 49,10
2023,2023-10452-SG,Female,Central,18 to 24,1
2023,2023-10453-SG,Male,Central,50+,9
2023,2023-10454-SG,Female,Central,18 to 24,21
2023,2023-10455-SG,Male,Western,18 to 24,12
2023,2023-10456-SG,Male,Toronto,25 to 49,3
2023,2023-10457-SG,Male,Western,50+,5
2023,2023-10458-SG,Female,Central,50+,4
2023,2023-10459-SG,Male,Western,25 to 49,12
2023,2023-10460-SG,Male,Eastern,25 to 49,10
2023,2023-10461-SG,Male,Western,18 to 24,3
2023,2023-10462-SG,Male,Eastern,18 to 24,25
2023,2023-10463-SG,Male,Eastern,25 to 49,2
2023,2023-10464-SG,Male,Eastern,18 to 24,196
2023,2023-10465-SG,Male,Eastern,25 to 49,2
2023,2023-10466-SG,Male,Western,25 to 49,22
2023,2023-10467-SG,Male,Central,25 to 49,1
2023,2023-10468-SG,Male,Central,25 to 49,9
2023,2023-10469-SG,Female,Central,18 to 24,1
2023,2023-10470-SG,Male,Eastern,50+,22
2023,2023-10471-SG,Male,Eastern,25 to 49,2
2023,2023-10472-SG,Male,Eastern,25 to 49,2
2023,2023-10473-SG,Male,Eastern,18 to 24,1
2023,2023-10474-SG,Male,Eastern,18 to 24,1
2023,2023-10475-SG,Male,Central,25 to 49,7
2023,2023-10476-SG,Male,Northern,18 to 24,4
2023,2023-10477-SG,Male,Central,25 to 49,1
2023,2023-10478-SG,Male,Toronto,18 to 24,19
2023,2023-10479-SG,Female,Central,25 to 49,1
2023,2023-10480-SG,Male,Central,25 to 49,1
2023,2023-10481-SG,Male,Western,25 to 49,1
2023,2023-10482-SG,Male,Western,25 to 49,4
2023,2023-10483-SG,Male,Western,18 to 24,3
2023,2023-10484-SG,Male,Toronto,18 to 24,2
2023,2023-10485-SG,Female,Central,25 to 49,16
2023,2023-10486-SG,Female,Northern,25 to 49,4
2023,2023-10487-SG,Male,Central,25 to 49,26
2023,2023-10488-SG,Female,Central,25 to 49,2
2023,2023-10489-SG,Male,Central,25 to 49,8
2023,2023-10490-SG,Male,Northern,18 to 24,2
2023,2023-10491-SG,Male,Western,25 to 49,15
2023,2023-10492-SG,Male,Northern,18 to 24,4
2023,2023-10493-SG,Male,Central,25 to 49,5
2023,2023-10494-SG,Female,Eastern,25 to 49,11
2023,2023-10495-SG,Male,Toronto,25 to 49,2
2023,2023-10496-SG,Male,Western,25 to 49,1
2023,2023-10497-SG,Male,Central,18 to 24,6
2023,2023-10498-SG,Male,Central,18 to 24,1
2023,2023-10499-SG,Male,Toronto,25 to 49,4
2023,2023-10500-SG,Male,Central,25 to 49,2
2023,2023-10501-SG,Female,Central,25 to 49,1
2023,2023-10502-SG,Female,Central,18 to 24,2
2023,2023-10503-SG,Male,Eastern,25 to 49,12
2023,2023-10504-SG,Female,Central,25 to 49,3
2023,2023-10505-SG,Male,Western,25 to 49,1
2023,2023-10506-SG,Male,Northern,25 to 49,1
2023,2023-10507-SG,Male,Western,25 to 49,2
2023,2023-10508-SG,Male,Central,18 to 24,53
2023,2023-10509-SG,Male,Central,18 to 24,1
2023,2023-10510-SG,Female,Central,25 to 49,11
2023,2023-10511-SG,Male,Toronto,50+,6
2023,2023-10512-SG,Male,Toronto,25 to 49,3
2023,2023-10513-SG,Male,Toronto,50+,3
2023,2023-10514-SG,Male,Northern,50+,2
2023,2023-10515-SG,Male,Central,18 to 24,18
2023,2023-10516-SG,Female,Central,25 to 49,4
2023,2023-10517-SG,Male,Central,18 to 24,1
2023,2023-10518-SG,Male,Western,25 to 49,4
2023,2023-10519-SG,Male,Eastern,25 to 49,2
2023,2023-10520-SG,Male,Central,25 to 49,1
2023,2023-10521-SG,Female,Central,18 to 24,8
2023,2023-10522-SG,Female,Central,18 to 24,3
2023,2023-10523-SG,Male,Toronto,25 to 49,8
2023,2023-10524-SG,Female,Central,25 to 49,5
2023,2023-10525-SG,Male,Eastern,50+,8
2023,2023-10526-SG,Male,Eastern,25 to 49,3
2023,2023-10527-SG,Male,Toronto,18 to 24,3
2023,2023-10528-SG,Male,Toronto,25 to 49,3
2023,2023-10529-SG,Female,Central,25 to 49,12
2023,2023-10530-SG,Male,Western,25 to 49,4
2023,2023-10531-SG,Female,Eastern,25 to 49,20
2023,2023-10532-SG,Female,Central,25 to 49,3
2023,2023-10533-SG,Female,Central,50+,7
2023,2023-10534-SG,Male,Central,25 to 49,6
2023,2023-10535-SG,Male,Toronto,25 to 49,4
2023,2023-10536-SG,Male,Toronto,25 to 49,1
2023,2023-10537-SG,Male,Central,25 to 49,2
2023,2023-10538-SG,Female,Eastern,25 to 49,1
2023,2023-10539-SG,Male,Eastern,18 to 24,2
2023,2023-10540-SG,Male,Northern,25 to 49,4
2023,2023-10541-SG,Male,Eastern,25 to 49,6
2023,2023-10542-SG,Male,Western,25 to 49,6
2023,2023-10543-SG,Male,Central,25 to 49,2
2023,2023-10544-SG,Female,Eastern,18 to 24,1
2023,2023-10545-SG,Female,Central,18 to 24,6
2023,2023-10546-SG,Female,Central,25 to 49,1
2023,2023-10547-SG,Male,Toronto,18 to 24,28
2023,2023-10548-SG,Male,Central,25 to 49,6
2023,2023-10549-SG,Male,Northern,18 to 24,2
2023,2023-10550-SG,Female,Central,25 to 49,2
2023,2023-10551-SG,Male,Eastern,25 to 49,2
2023,2023-10552-SG,Male,Central,50+,7
2023,2023-10553-SG,Male,Northern,18 to 24,2
2023,2023-10554-SG,Female,Western,25 to 49,10
2023,2023-10555-SG,Female,Central,25 to 49,1
2023,2023-10556-SG,Male,Western,25 to 49,18
2023,2023-10557-SG,Male,Northern,25 to 49,3
2023,2023-10558-SG,Male,Central,25 to 49,1
2023,2023-10559-SG,Male,Northern,18 to 24,4
2023,2023-10560-SG,Male,Central,25 to 49,1
2023,2023-10561-SG,Male,Toronto,25 to 49,19
2023,2023-10562-SG,Male,Northern,18 to 24,3
2023,2023-10563-SG,Female,Northern,25 to 49,5
2023,2023-10564-SG,Female,Central,50+,6
2023,2023-10565-SG,Male,Toronto,25 to 49,1
2023,2023-10566-SG,Male,Central,50+,19
2023,2023-10567-SG,Female,Central,25 to 49,7
2023,2023-10568-SG,Male,Central,25 to 49,5
2023,2023-10569-SG,Male,Western,18 to 24,11
2023,2023-10570-SG,Male,Northern,50+,5
2023,2023-10571-SG,Male,Central,25 to 49,1
2023,2023-10572-SG,Male,Toronto,18 to 24,1
2023,2023-10573-SG,Male,Toronto,25 to 49,5
2023,2023-10574-SG,Male,Central,50+,7
2023,2023-10575-SG,Male,Central,50+,4
2023,2023-10576-SG,Female,Central,50+,29
2023,2023-10577-SG,Male,Central,25 to 49,8
2023,2023-10578-SG,Female,Central,18 to 24,5
2023,2023-10579-SG,Female,Central,25 to 49,14
2023,2023-10580-SG,Male,Central,25 to 49,4
2023,2023-10581-SG,Male,Western,25 to 49,6
2023,2023-10582-SG,Male,Central,25 to 49,9
2023,2023-10583-SG,Male,Toronto,25 to 49,12
2023,2023-10584-SG,Male,Western,25 to 49,4
2023,2023-10585-SG,Female,Western,25 to 49,1
2023,2023-10586-SG,Female,Western,18 to 24,2
2023,2023-10587-SG,Male,Northern,18 to 24,1
2023,2023-10588-SG,Male,Central,18 to 24,1
2023,2023-10589-SG,Male,Central,25 to 49,7
2023,2023-10590-SG,Female,Central,25 to 49,33
2023,2023-10591-SG,Female,Central,25 to 49,1
2023,2023-10592-SG,Male,Central,18 to 24,1
2023,2023-10593-SG,Male,Central,25 to 49,6
2023,2023-10594-SG,Male,Northern,18 to 24,5
2023,2023-10595-SG,Male,Toronto,18 to 24,2
2023,2023-10596-SG,Male,Northern,25 to 49,1
2023,2023-10597-SG,Male,Central,25 to 49,29
2023,2023-10598-SG,Female,Central,25 to 49,7
2023,2023-10599-SG,Male,Central,25 to 49,1
2023,2023-10600-SG,Male,Central,18 to 24,1
2023,2023-10601-SG,Male,Toronto,18 to 24,24
2023,2023-10602-SG,Male,Northern,25 to 49,1
2023,2023-10603-SG,Male,Western,18 to 24,16
2023,2023-10604-SG,Male,Central,25 to 49,9
2023,2023-10605-SG,Male,Eastern,25 to 49,9
2023,2023-10606-SG,Male,Central,25 to 49,41
2023,2023-10607-SG,Female,Central,25 to 49,9
2023,2023-10608-SG,Female,Central,25 to 49,15
2023,2023-10609-SG,Male,Eastern,25 to 49,4
2023,2023-10610-SG,Male,Eastern,25 to 49,2
2023,2023-10611-SG,Male,Central,18 to 24,33
2023,2023-10612-SG,Male,Toronto,25 to 49,5
2023,2023-10613-SG,Female,Central,25 to 49,53
2023,2023-10614-SG,Male,Western,25 to 49,6
2023,2023-10615-SG,Male,Western,18 to 24,6
2023,2023-10616-SG,Male,Central,25 to 49,4
2023,2023-10617-SG,Male,Western,50+,12
2023,2023-10618-SG,Male,Eastern,18 to 24,2
2023,2023-10619-SG,Female,Central,18 to 24,2
2023,2023-10620-SG,Male,Central,25 to 49,1
2023,2023-10621-SG,Male,Central,25 to 49,1
2023,2023-10622-SG,Male,Eastern,25 to 49,18
2023,2023-10623-SG,Male,Central,25 to 49,1
2023,2023-10624-SG,Male,Toronto,25 to 49,3
2023,2023-10625-SG,Male,Eastern,25 to 49,53
2023,2023-10626-SG,Male,Central,50+,2
2023,2023-10627-SG,Male,Eastern,18 to 24,2
2023,2023-10628-SG,Male,Central,25 to 49,5
2023,2023-10629-SG,Male,Toronto,18 to 24,2
2023,2023-10630-SG,Male,Central,25 to 49,6
2023,2023-10631-SG,Male,Western,25 to 49,8
2023,2023-10632-SG,Male,Central,25 to 49,2
2023,2023-10633-SG,Female,Central,25 to 49,8
2023,2023-10634-SG,Female,Central,25 to 49,12
2023,2023-10635-SG,Male,Eastern,25 to 49,2
2023,2023-10636-SG,Male,Central,50+,12
2023,2023-10637-SG,Male,Western,25 to 49,1
2023,2023-10638-SG,Male,Central,25 to 49,2
2023,2023-10639-SG,Male,Northern,25 to 49,6
2023,2023-10640-SG,Female,Central,25 to 49,12
2023,2023-10641-SG,Male,Eastern,25 to 49,7
2023,2023-10642-SG,Female,Central,25 to 49,10
2023,2023-10643-SG,Male,Eastern,25 to 49,1
2023,2023-10644-SG,Male,Western,25 to 49,3
2023,2023-10645-SG,Male,Central,25 to 49,3
2023,2023-10646-SG,Male,Eastern,25 to 49,99
2023,2023-10647-SG,Male,Central,25 to 49,8
2023,2023-10648-SG,Female,Central,18 to 24,2
2023,2023-10649-SG,Female,Central,25 to 49,3
2023,2023-10650-SG,Male,Central,25 to 49,3
2023,2023-10651-SG,Male,Central,25 to 49,1
2023,2023-10652-SG,Male,Eastern,25 to 49,113
2023,2023-10653-SG,Male,Central,18 to 24,2
2023,2023-10654-SG,Male,Eastern,25 to 49,24
2023,2023-10655-SG,Male,Central,25 to 49,4
2023,2023-10656-SG,Male,Central,18 to 24,10
2023,2023-10657-SG,Male,Eastern,25 to 49,4
2023,2023-10658-SG,Male,Central,25 to 49,8
2023,2023-10659-SG,Male,Central,25 to 49,5
2023,2023-10660-SG,Male,Central,50+,1
2023,2023-10661-SG,Male,Toronto,50+,1
2023,2023-10662-SG,Male,Western,25 to 49,7
2023,2023-10663-SG,Male,Central,25 to 49,2
2023,2023-10664-SG,Male,Eastern,25 to 49,13
2023,2023-10665-SG,Female,Central,25 to 49,11
2023,2023-10666-SG,Male,Toronto,18 to 24,10
2023,2023-10667-SG,Female,Western,50+,35
2023,2023-10668-SG,Male,Western,25 to 49,3
2023,2023-10669-SG,Male,Western,50+,8
2023,2023-10670-SG,Male,Eastern,50+,2
2023,2023-10671-SG,Male,Central,25 to 49,1
2023,2023-10672-SG,Female,Central,18 to 24,4
2023,2023-10673-SG,Female,Central,18 to 24,2
2023,2023-10674-SG,Male,Western,25 to 49,17
2023,2023-10675-SG,Female,Central,25 to 49,1
2023,2023-10676-SG,Male,Central,25 to 49,6
2023,2023-10677-SG,Female,Central,25 to 49,3
2023,2023-10678-SG,Female,Central,25 to 49,1
2023,2023-10679-SG,Female,Central,18 to 24,15
2023,2023-10680-SG,Male,Western,25 to 49,7
2023,2023-10681-SG,Female,Central,25 to 49,3
2023,2023-10682-SG,Female,Central,25 to 49,8
2023,2023-10683-SG,Female,Northern,25 to 49,2
2023,2023-10684-SG,Male,Central,25 to 49,6
